id,amenities,bathrooms,bedrooms,has_photo,pets_allowed,price_type,square_feet,address,cityname,state,latitude,longitude,price
3000,,,0.0,,,,426.0,35 N 6th Ave,Tucson,,32.2264,-110.9438,899.0
3001,"AC,Cable or Satellite,Clubhouse,Dishwasher,Gym,Parking,Patio/Deck,Pool,Refrigerator,Washer Dryer",1.0,1.0,No,"Cats,Dogs",,,,Roselle,NJ,40.6517,-74.2618,2012.0
3002,"AC,Cable or Satellite,Clubhouse,Dishwasher,Elevator,Gym,Patio/Deck,Playground,Pool,Refrigerator,Washer Dryer",2.0,2.0,Yes,"Cats,Dogs",,1210.0,,Beltsville,MD,39.043,-76.9077,1595.0
3003,"Dishwasher,Parking,Patio/Deck,Playground,Pool,Washer Dryer",2.0,2.0,No,,Monthly,1245.0,,Cleveland,,41.4983,-81.6437,1065.0
3004,,2.0,2.0,Thumbnail,,Monthly,1035.0,,Irvine,CA,33.8323,-117.9079,2685.0
3005,"Garbage Disposal,Refrigerator",,1.0,Thumbnail,,Monthly,650.0,703 Monona Avenue,Des Moines,IA,41.5927,-93.6276,640.0
3006,"Cable or Satellite,Dishwasher,Garbage Disposal,Parking,Refrigerator",2.0,5.0,Thumbnail,,Monthly,1594.0,142 Rodney Court,Madison,WI,43.0724,-89.4003,2305.0
3007,"AC,Gym,Parking,Patio/Deck,Playground,Pool,Storage,Washer Dryer,Wood Floors",1.0,1.0,No,"Cats,Dogs",,1026.0,,Braintree,MA,42.2094,-70.999,2196.0
3008,"AC,Clubhouse,Gym,Internet Access,Washer Dryer",1.0,2.0,Thumbnail,"Cats,Dogs",Monthly,,,,NH,42.9833,-71.4574,1305.0
3009,"Dishwasher,Gym,Parking,Storage",,2.0,Yes,,Monthly,886.0,,,MD,39.6404,-77.0297,1099.0
3010,"AC,Dishwasher,Patio/Deck,Washer Dryer,Wood Floors",,2.0,,"Cats,Dogs",Monthly,1372.0,2204 Columbia St Apartment 10,San Diego,CA,32.7211,-117.1643,2800.0
3011,"Elevator,Gym,Parking,Patio/Deck,Pool,Storage,Tennis,View",1.0,5.0,Thumbnail,,Monthly,3395.0,,Hollywood,FL,26.0121,-80.2453,11000.0
3012,"Gym,Pool",1.0,2.0,Yes,,Monthly,,,Leesville,LA,31.1254,-93.2763,599.0
3013,Parking,2.0,,No,,Monthly,1379.0,,Sammamish,WA,47.6302,-122.0537,3195.0
3014,"AC,Cable or Satellite,Dishwasher,Internet Access,Patio/Deck,Washer Dryer",1.0,2.0,Thumbnail,,Monthly,,2008 Kennedy Road,Knoxville,TN,35.9818,-83.8075,550.0
3015,,2.0,2.0,,,Monthly,1080.0,,Irvine,CA,33.6248,-117.7964,2530.0
3016,"Gym,Parking,Playground,Pool",2.0,3.0,Yes,"Cats,Dogs",Monthly,1467.0,,,MA,42.6484,-71.1615,4152.0
